City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cockburn Town,TC,2020-02-20 01:51:09,21.46,-71.14,77.9,78,0,18.72
70,Thompson,CA,2020-02-20 01:51:09,55.74,-97.86,6.8,55,75,11.41
71,Provideniya,RU,2020-02-20 01:51:09,64.38,-173.3,6.8,65,100,13.42
72,Lompoc,US,2020-02-20 01:51:09,34.64,-120.46,61.0,71,1,6.93
73,Brae,GB,2020-02-20 01:51:10,60.4,-1.35,46.4,93,100,19.46
74,Saint George,US,2020-02-20 01:48:29,37.1,-113.58,55.4,28,1,10.29
75,Vila Velha,BR,2020-02-20 01:51:10,-20.33,-40.29,80.6,78,100,8.05
76,Ribeira Grande,PT,2020-02-20 01:51:10,38.52,-28.7,53.6,58,40,8.05
77,Amla,IN,2020-02-20 01:51:10,21.93,78.12,72.9,25,0,16.82
78,Galle,LK,2020-02-20 01:51:11,6.04,80.22,77.25,81,0,5.26
79,Nizwa,OM,2020-02-20 01:51:11,22.93,57.53,61.03,39,63,0.16
80,Labuan,MY,2020-02-20 01:51:11,5.28,115.24,86.0,66,75,3.36
81,Nisia Floresta,BR,2020-02-20 01:51:11,-6.09,-35.21,77.0,94,40,6.93
82,Havre-Saint-Pierre,CA,2020-02-20 01:51:11,50.23,-63.6,14.0,61,90,19.46
83,Qaanaaq,GL,2020-02-20 01:51:11,77.48,-69.36,-12.44,52,0,3.96
84,Changji,CN,2020-02-20 01:51:12,44.02,87.32,23.0,67,75,6.71
85,Le Vauclin,MQ,2020-02-20 01:51:12,14.55,-60.84,77.0,78,75,11.41
86,Tuktoyaktuk,CA,2020-02-20 01:51:12,69.45,-133.04,8.6,84,90,13.87
87,Illapel,CL,2020-02-20 01:51:12,-31.63,-71.17,59.74,51,0,1.97
88,Beyneu,KZ,2020-02-20 01:51:12,45.32,55.2,32.86,52,100,13.22
89,San Cristobal,VE,2020-02-20 01:51:13,7.77,-72.22,86.0,58,40,2.24
90,Victoria,HK,2020-02-20 01:49:03,22.29,114.16,66.99,52,0,9.17
91,Dabakala,CI,2020-02-20 01:51:13,8.37,-4.43,72.23,67,14,1.32
92,Albany,US,2020-02-20 01:51:13,42.6,-73.97,28.4,57,75,6.93
93,Codrington,AU,2020-02-20 01:51:14,-38.27,141.97,58.44,71,99,11.7
94,Vangaindrano,MG,2020-02-20 01:51:14,-23.35,47.6,72.7,95,100,3.65
95,Atuona,PF,2020-02-20 01:51:14,-9.8,-139.03,81.99,79,27,17.56
96,Lokosovo,RU,2020-02-20 01:51:14,61.13,74.82,30.56,95,94,7.72
97,Namibe,AO,2020-02-20 01:51:14,-15.2,12.15,74.46,70,100,7.4
98,Tucuman,AR,2020-02-20 01:51:14,-26.82,-65.22,71.6,83,75,3.36
99,Muisne,EC,2020-02-20 01:51:15,0.6,-80.03,76.93,92,89,2.68
100,Presidente Medici,BR,2020-02-20 01:51:15,-11.18,-61.9,76.19,87,100,3.51
101,Plettenberg Bay,ZA,2020-02-20 01:51:15,-34.05,23.37,72.93,63,0,6.15
102,Punta De Piedra,VE,2020-02-20 01:51:15,7.62,-71.49,78.55,72,56,2.68
103,Port Hedland,AU,2020-02-20 01:51:15,-20.32,118.57,93.2,46,0,5.82
104,Mugur-Aksy,RU,2020-02-20 01:51:16,50.35,90.5,-4.76,88,75,6.26
105,Bilma,NE,2020-02-20 01:51:16,18.69,12.92,60.66,30,0,7.92
106,Saint-Augustin,CA,2020-02-20 01:51:16,51.23,-58.65,23.77,87,100,19.44
107,Sangar,RU,2020-02-20 01:51:16,63.92,127.47,-12.93,91,98,9.42
108,Kununurra,AU,2020-02-20 01:51:17,-15.77,128.73,93.2,56,100,5.82
109,Pangkalanbuun,ID,2020-02-20 01:51:17,-2.68,111.62,89.98,58,56,2.95
110,Gravdal,NO,2020-02-20 01:51:17,68.12,13.5,32.9,67,71,21.27
111,New Norfolk,AU,2020-02-20 01:51:17,-42.78,147.06,66.99,55,75,10.29
112,Sungaipenuh,ID,2020-02-20 01:51:17,-2.08,101.38,70.66,78,77,4.94
113,Pueblo,US,2020-02-20 01:51:17,38.25,-104.61,28.4,86,90,13.87
114,Castro,BR,2020-02-20 01:51:18,-24.79,-50.01,66.65,97,94,2.51
115,Ilulissat,GL,2020-02-20 01:51:18,69.22,-51.1,5.0,65,100,9.17
116,Kiruna,SE,2020-02-20 01:51:18,67.86,20.23,-2.2,77,33,13.87
117,Hithadhoo,MV,2020-02-20 01:51:18,-0.6,73.08,83.34,78,55,16.64
118,Timra,SE,2020-02-20 01:51:19,62.49,17.33,27.0,85,33,4.7
119,Ginir,ET,2020-02-20 01:51:19,7.13,40.7,61.23,60,100,1.74
120,Leshukonskoye,RU,2020-02-20 01:51:19,64.9,45.76,29.84,94,96,7.16
121,Tondano,ID,2020-02-20 01:51:19,1.3,124.91,87.8,62,40,8.05
122,Lodja,CD,2020-02-20 01:51:19,-3.48,23.43,67.57,98,100,1.01
123,George Town,MY,2020-02-20 01:49:07,5.41,100.34,80.6,74,20,4.7
124,Torit,SS,2020-02-20 01:51:20,4.41,32.57,80.62,53,16,7.94
125,Hamilton,US,2020-02-20 01:51:20,39.18,-84.53,36.0,60,1,3.69
126,Saldanha,ZA,2020-02-20 01:51:20,-33.01,17.94,68.0,82,25,8.05
127,Yellowknife,CA,2020-02-20 01:51:20,62.46,-114.35,6.8,84,75,11.41
128,Poum,NC,2020-02-20 01:51:21,-20.23,164.02,80.62,78,0,15.66
129,Praia,CV,2020-02-20 01:50:32,14.92,-23.51,68.45,85,100,16.53
130,Ixtapa,MX,2020-02-20 01:49:20,20.7,-105.2,75.2,83,5,6.93
131,Wukari,NG,2020-02-20 01:51:21,7.85,9.78,74.43,21,1,6.13
132,Lagoa,PT,2020-02-20 01:51:21,39.05,-27.98,54.7,64,0,17.69
133,Yulara,AU,2020-02-20 01:51:21,-25.24,130.99,84.2,14,98,11.41
134,Necochea,AR,2020-02-20 01:49:34,-38.55,-58.74,60.01,81,1,13.0
135,Husavik,IS,2020-02-20 01:48:19,66.04,-17.34,33.8,97,90,32.21
136,Jining,CN,2020-02-20 01:51:22,35.41,116.58,51.01,21,99,1.01
137,Sur,OM,2020-02-20 01:51:22,22.57,59.53,67.62,42,10,4.0
138,Bagotville,AU,2020-02-20 01:51:22,-28.98,153.42,86.0,61,0,12.75
139,Maniitsoq,GL,2020-02-20 01:51:22,65.42,-52.9,4.37,66,20,8.08
140,Alofi,NU,2020-02-20 01:51:23,-19.06,-169.92,82.4,69,75,13.87
141,Siderno,IT,2020-02-20 01:51:23,38.28,16.3,57.99,71,75,4.7
142,Saint-Paul,RE,2020-02-20 01:51:23,-21.01,55.27,73.4,64,3,6.93
143,Harper,LR,2020-02-20 01:51:23,4.38,-7.72,76.64,95,89,2.66
144,Henties Bay,NA,2020-02-20 01:51:23,-22.12,14.28,64.99,92,100,2.15
145,Geraldton,AU,2020-02-20 01:51:24,-28.77,114.6,77.0,73,90,6.93
146,Port Blair,IN,2020-02-20 01:51:24,11.67,92.75,80.78,81,69,17.74
147,Jardim,BR,2020-02-20 01:49:58,-21.48,-56.14,74.93,95,100,7.4
148,Mayo,US,2020-02-20 01:51:24,38.89,-76.51,45.0,51,5,7.96
149,Laguna,US,2020-02-20 01:51:25,38.42,-121.42,64.4,62,1,3.27
150,Chokurdakh,RU,2020-02-20 01:51:25,70.63,147.92,-11.54,90,72,7.09
151,Kapoeta,SS,2020-02-20 01:51:25,4.77,33.59,84.06,45,1,11.81
152,Kieta,PG,2020-02-20 01:51:25,-6.22,155.63,83.88,77,26,20.92
153,Tanete,ID,2020-02-20 01:51:25,-3.94,119.78,90.95,58,100,1.86
154,Clyde River,CA,2020-02-20 01:51:25,70.47,-68.59,-13.0,83,90,16.11
155,Macaubas,BR,2020-02-20 01:51:26,-13.02,-42.7,71.8,66,4,2.15
156,Tuatapere,NZ,2020-02-20 01:51:26,-46.13,167.68,72.84,45,100,5.82
157,Aklavik,CA,2020-02-20 01:51:26,68.22,-135.01,15.8,92,90,6.93
